_id,transaction_id,customer_id,timestamp,amount,device_id,atm_location
68c57fa3742c4f67eb6d32f9,txn_589977,cust_1000,2025-09-12T22:50:54.522Z,1536.77,atm_001,Kolkata
68c57fa4742c4f67eb6d32fa,txn_335048,cust_1000,2025-09-12T22:51:24.522Z,25670.67,atm_007,Delhi
68c57fa4742c4f67eb6d32fc,txn_781436,cust_1005,2025-09-09T20:55:55.577Z,5476.87,atm_020,Bangalore
68c57fa4742c4f67eb6d32fe,txn_988392,cust_1012,2025-09-13T03:17:19.629Z,3206.03,atm_005,Kolkata
68c57fa5742c4f67eb6d3300,txn_427114,cust_1012,2025-09-13T03:17:49.629Z,7979.93,atm_008,Chennai
68c57fa5742c4f67eb6d3301,txn_380455,cust_1019,2025-09-12T02:47:20.684Z,4686.32,atm_019,Delhi
68c57fa5742c4f67eb6d3303,txn_513160,cust_1007,2025-09-11T05:55:42.737Z,3737.2,atm_015,Delhi
68c57fa5742c4f67eb6d3304,txn_476536,cust_1010,2025-09-13T10:05:15.793Z,3227.06,atm_004,Bangalore
68c57fa5742c4f67eb6d3305,txn_937806,cust_1010,2025-09-13T10:05:45.793Z,16136.5,atm_020,Bangalore
68c57fa6742c4f67eb6d3307,txn_637950,cust_1020,2025-09-11T04:47:55.851Z,7928.03,atm_013,Mumbai
68c57fa6742c4f67eb6d3308,txn_194332,cust_1004,2025-09-10T01:36:54.902Z,1808.57,atm_011,Mumbai
68c57fa6742c4f67eb6d330a,txn_703768,cust_1018,2025-09-09T12:18:46.956Z,5908.44,atm_008,Bangalore
68c57fa6742c4f67eb6d330b,txn_406653,cust_1018,2025-09-09T12:19:16.956Z,8942.1,atm_010,Delhi
68c57fa6742c4f67eb6d330d,txn_742625,cust_1019,2025-09-10T13:24:22.011Z,507.11,atm_014,Kolkata
68c57fa6742c4f67eb6d330e,txn_185138,cust_1019,2025-09-10T13:24:52.011Z,8396.87,atm_002,Delhi
68c57fa7742c4f67eb6d330f,txn_548092,cust_1015,2025-09-10T06:03:44.066Z,7371.47,atm_010,Mumbai
68c57fa7742c4f67eb6d3310,txn_128123,cust_1005,2025-09-10T11:03:19.121Z,7961.8,atm_001,Delhi
